artist,album,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Kendrick Lamar,GNX,luther (with sza),91,0.836,0.237,0.274,0.866,0.105,-19.499,0.0481,172.651,0.0365
Kendrick Lamar,GNX,tv off (feat. lefty gunplay),91,0.89,0.0856,0.299,0.884,0.146,-10.372,0.0348,79.802,0.0674
Kendrick Lamar,GNX,squabble up,90,0.142,0.357,0.238,0.0859,0.55,-16.78,0.265,156.907,0.494
Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,89,0.79,0.464,0.378,0,0.109,-10.527,0.0357,85.827,0.326
Bruno Mars,24K Magic,That's What I Like,88,0.134,0.75,0.556,0,0.107,-7.275,0.436,179.911,0.736
Kendrick Lamar,GNX,wacced out murals,87,0.522,0.574,0.581,0.952,0.101,-11.858,0.0372,100.095,0.306
Bruno Mars,Unorthodox Jukebox,When I Was Your Man,86,0.0496,0.773,0.83,0.0000279,0.246,-3.735,0.0421,110.01,0.412
Kendrick Lamar,GNX,reincarnated,86,0.209,0.613,0.396,0.000674,0.189,-14.281,0.0391,172.016,0.459
Kendrick Lamar,GNX,hey now (feat. dody6),86,0.0221,0.744,0.852,0.0891,0.94,-5.306,0.0446,118.125,0.749
Kendrick Lamar,GNX,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",86,0.123,0.625,0.958,0.0017,0.129,-7.368,0.0531,99.999,0.506
Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),85,0.253,0.655,0.672,0,0.312,-4.966,0.0581,98.005,0.675
Kendrick Lamar,GNX,heart pt. 6,85,0.0915,0.652,0.859,0.948,0.095,-12.526,0.0623,118.118,0.188
Kendrick Lamar,GNX,man at the garden,85,0.95,0.454,0.214,0,0.159,-9.523,0.032,70.584,0.319
Kendrick Lamar,GNX,gloria (with sza),84,0.885,0.291,0.123,0.866,0.0897,-22.105,0.0325,80.954,0.0607
Kendrick Lamar,GNX,peekaboo (feat. azchike),84,0.54,0.373,0.304,0.976,0.12,-15.503,0.0334,80.053,0.0387
